ID,Species,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C17:1n,C18:0,C18:1n-9,C18:1n-7,C18:2n-6,C18:3n-6,C18:3n-3,C18:4n-3,C20:0,C20:1n-9,C20:2n,C20:3n-6,C20:3n-3,C20:4n-6,C20:4n-3,C20:5n-3,C24:0,C22:6n-3
m_no3,mekong_m,2.7,0.42,20.97,1.04,0.76,0.18,8.19,19.11,0.88,1.3,0.3,1.19,1.69,0.29,3.45,0.19,0.57,3.29,0.2,1.51,4.22,3.32,13.98
m_no4,mekong_m,4.37,0.24,24.93,0.82,0.35,0.09,7.67,22.03,0.46,0.81,0.17,1.34,3.83,0.26,3.53,0.1,0.25,0.75,0.12,2.35,5.48,2.81,12.93
m_no5,mekong_m,4.38,0.22,25.69,0.6,0.33,0.1,7.67,20.24,0.35,0.76,0.17,1.35,4.52,0.26,3.11,0.1,0.22,0.73,0.12,2.33,6.16,2.88,13.3
m_no6,mekong_m,4.43,0.22,25.55,0.65,0.32,0.06,7.77,20.39,0.41,0.83,0.18,1.35,4.1,0.28,3.51,0.09,0.25,0.87,0.13,2.16,5.61,2.62,13.38
m_no8,mekong_m,3.71,0.33,24.11,0.92,0.5,0.09,8.12,20.36,0.67,1.15,0.28,1.45,2.93,0.29,3.6,0.18,0.4,1.81,0.28,2.04,4.98,2.69,12.39
m_no9,mekong_m,3.64,0.22,24.45,0.65,0.33,0.05,8.14,19.57,0.5,0.9,0.19,1.29,3.43,0.29,3.55,0.11,0.32,1.48,0.19,2.26,5.57,2.45,14.04
m_no11,mekong_m,4.42,0.2,26.04,0.6,0.3,0.05,7.87,19.4,0.35,0.83,0.18,1.47,4.8,0.3,3.63,0.09,0.24,0.56,0.16,2.66,6.41,1.95,13.27
m_no13,mekong_m,3.34,0.3,23.86,0.76,0.55,0.12,8.08,18.59,0.58,0.99,0.31,1.13,2.71,0.28,3.57,0.13,0.37,1.67,0.27,2.02,5.55,2.46,14.64
m_no14,mekong_m,3.33,0.26,23.04,0.76,0.4,0.08,8.41,22.21,0.54,0.91,0.22,1.12,2.56,0.3,4.29,0.11,0.34,1.81,0.17,1.99,4.71,2.76,12.8
m_no15,mekong_m,4.96,0.89,24.26,2.63,1.32,0.22,8.6,18.24,1.47,1.93,0.47,2.08,2.01,0.42,4.1,0.26,0.59,1.92,0.28,1.58,3.4,2.09,8.21
m_no17,mekong_m,4.44,0.78,24.41,2.16,1.15,0.21,9.75,20.64,1.36,1.51,0.37,1.58,1.4,0.42,4.86,0.24,0.49,1.83,0.21,1.4,2.96,1.66,8.22
m_no21,mekong_m,4.53,0.36,25.21,1.15,0.53,0.09,8.63,21.88,0.68,1,0.24,1.47,3.1,0.35,4.52,0.14,0.29,0.68,0.23,2.26,4.43,2.3,10.61
